date,exp_unt,trt,plot,block,cultivar,graft,inoculum,disease score,notes
05/18/18,49,tall,8,1,8504,Maxi,10,0,
05/18/18,31,none,11,1,5608,none,10,0,
05/18/18,34,none,12,1,8504,none,10,0,
05/18/18,51,standard,4,1,8504,Maxi,0,0,
05/18/18,27,standard,3,1,5608,Maxi,0,0,
05/18/18,18,standard,9,1,5608,Maxi,10,0,
05/18/18,67,none,5,1,5608,none,0,0,
05/18/18,7,none,6,1,8504,none,0,0,
05/18/18,44,tall,1,1,5608,Maxi,0,0,
05/18/18,48,tall,7,1,5608,Maxi,10,0,
05/18/18,22,tall,2,1,8504,Maxi,0,0,
05/18/18,25,standard,10,1,8504,Maxi,10,0,
05/18/18,63,standard,4,2,8504,Maxi,0,0,
05/18/18,61,standard,3,2,5608,Maxi,0,0,
05/18/18,9,standard,9,2,5608,Maxi,10,0,
05/18/18,43,tall,8,2,8504,Maxi,10,0,
05/18/18,29,tall,7,2,5608,Maxi,10,0,
05/18/18,10,standard,10,2,8504,Maxi,10,0,
05/18/18,17,none,6,2,8504,none,0,0,
05/18/18,16,tall,2,2,8504,Maxi,0,0,
05/18/18,11,none,5,2,5608,none,0,0,
05/18/18,12,tall,1,2,5608,Maxi,0,0,
05/18/18,60,none,11,2,5608,none,10,0,
05/18/18,56,none,12,2,8504,none,10,0,
05/18/18,6,standard,4,3,8504,Maxi,0,0,
05/18/18,4,standard,10,3,8504,Maxi,10,0,
05/18/18,58,tall,7,3,5608,Maxi,10,0,
05/18/18,45,none,5,3,5608,none,0,0,
05/18/18,13,none,12,3,8504,none,10,0,
05/18/18,54,standard,3,3,5608,Maxi,0,0,
05/18/18,30,standard,9,3,5608,Maxi,10,0,
05/18/18,70,none,6,3,8504,none,0,0,
05/18/18,3,tall,2,3,8504,Maxi,0,0,
05/18/18,55,none,11,3,5608,none,10,0,
05/18/18,26,tall,1,3,5608,Maxi,0,0,
05/18/18,72,tall,8,3,8504,Maxi,10,0,
05/18/18,19,standard,10,4,8504,Maxi,10,0,
05/18/18,5,none,12,4,8504,none,10,0,
05/18/18,50,tall,2,4,8504,Maxi,0,0,
05/18/18,23,tall,7,4,5608,Maxi,10,0,
05/18/18,71,standard,4,4,8504,Maxi,0,0,
05/18/18,66,tall,1,4,5608,Maxi,0,0,
05/18/18,24,tall,8,4,8504,Maxi,10,0,
05/18/18,46,none,5,4,5608,none,0,0,
05/18/18,59,none,11,4,5608,none,10,0,
05/18/18,20,none,6,4,8504,none,0,0,
05/18/18,1,standard,3,4,5608,Maxi,0,0,
05/18/18,28,standard,9,4,5608,Maxi,10,0,
05/18/18,21,standard,4,5,8504,Maxi,0,0,
05/18/18,65,standard,10,5,8504,Maxi,10,0,
05/18/18,39,standard,3,5,5608,Maxi,0,0,
05/18/18,38,none,6,5,8504,none,0,0,
05/18/18,36,none,5,5,5608,none,0,0,
05/18/18,64,none,11,5,5608,none,10,0,
05/18/18,42,standard,9,5,5608,Maxi,10,0,
05/18/18,2,tall,1,5,5608,Maxi,0,0,
05/18/18,32,none,12,5,8504,none,10,0,
05/18/18,47,tall,7,5,5608,Maxi,10,0,
05/18/18,69,tall,8,5,8504,Maxi,10,0,
05/18/18,33,tall,2,5,8504,Maxi,0,0,
05/18/18,8,standard,3,6,5608,Maxi,0,0,
05/18/18,40,none,6,6,8504,none,0,0,
05/18/18,35,tall,2,6,8504,Maxi,0,0,
05/18/18,41,none,11,6,5608,none,10,0,
05/18/18,53,tall,8,6,8504,Maxi,10,0,
05/18/18,15,tall,7,6,5608,Maxi,10,7,
05/18/18,52,none,5,6,5608,none,0,0,
05/18/18,68,standard,10,6,8504,Maxi,10,0,
05/18/18,57,tall,1,6,5608,Maxi,0,0,
05/18/18,37,none,12,6,8504,none,10,0,
05/18/18,14,standard,4,6,8504,Maxi,0,0,
05/18/18,62,standard,9,6,5608,Maxi,10,0,
08/07/18,49,tall,8,1,8504,Maxi,10,0,
08/07/18,31,none,11,1,5608,none,10,4,
08/07/18,34,none,12,1,8504,none,10,0,
08/07/18,51,standard,4,1,8504,Maxi,0,0,
08/07/18,27,standard,3,1,5608,Maxi,0,0,
08/07/18,18,standard,9,1,5608,Maxi,10,0,
08/07/18,67,none,5,1,5608,none,0,0,
08/07/18,7,none,6,1,8504,none,0,0,
08/07/18,44,tall,1,1,5608,Maxi,0,0,
08/07/18,48,tall,7,1,5608,Maxi,10,0,
08/07/18,22,tall,2,1,8504,Maxi,0,0,
08/07/18,25,standard,10,1,8504,Maxi,10,0,
08/07/18,63,standard,4,2,8504,Maxi,0,0,
08/07/18,61,standard,3,2,5608,Maxi,0,0,
08/07/18,9,standard,9,2,5608,Maxi,10,0,
08/07/18,43,tall,8,2,8504,Maxi,10,0,
08/07/18,29,tall,7,2,5608,Maxi,10,0,
08/07/18,10,standard,10,2,8504,Maxi,10,0,
08/07/18,17,none,6,2,8504,none,0,0,
08/07/18,16,tall,2,2,8504,Maxi,0,0,
08/07/18,11,none,5,2,5608,none,0,0,
08/07/18,12,tall,1,2,5608,Maxi,0,0,
08/07/18,60,none,11,2,5608,none,10,0,
08/07/18,56,none,12,2,8504,none,10,0,
08/07/18,6,standard,4,3,8504,Maxi,0,0,
08/07/18,4,standard,10,3,8504,Maxi,10,0,
08/07/18,58,tall,7,3,5608,Maxi,10,0,
08/07/18,45,none,5,3,5608,none,0,0,
08/07/18,13,none,12,3,8504,none,10,0,
08/07/18,54,standard,3,3,5608,Maxi,0,0,
08/07/18,30,standard,9,3,5608,Maxi,10,0,
08/07/18,70,none,6,3,8504,none,0,0,
08/07/18,3,tall,2,3,8504,Maxi,0,0,
08/07/18,55,none,11,3,5608,none,10,0,
08/07/18,26,tall,1,3,5608,Maxi,0,0,
08/07/18,72,tall,8,3,8504,Maxi,10,0,
08/07/18,19,standard,10,4,8504,Maxi,10,0,
08/07/18,5,none,12,4,8504,none,10,0,
08/07/18,50,tall,2,4,8504,Maxi,0,0,
08/07/18,23,tall,7,4,5608,Maxi,10,0,
08/07/18,71,standard,4,4,8504,Maxi,0,0,
08/07/18,66,tall,1,4,5608,Maxi,0,0,
08/07/18,24,tall,8,4,8504,Maxi,10,0,
08/07/18,46,none,5,4,5608,none,0,0,
08/07/18,59,none,11,4,5608,none,10,4,
08/07/18,20,none,6,4,8504,none,0,0,
08/07/18,1,standard,3,4,5608,Maxi,0,0,
08/07/18,28,standard,9,4,5608,Maxi,10,3,
08/07/18,21,standard,4,5,8504,Maxi,0,0,
08/07/18,65,standard,10,5,8504,Maxi,10,0,
08/07/18,39,standard,3,5,5608,Maxi,0,0,
08/07/18,38,none,6,5,8504,none,0,0,
08/07/18,36,none,5,5,5608,none,0,0,
08/07/18,64,none,11,5,5608,none,10,0,
08/07/18,42,standard,9,5,5608,Maxi,10,0,
08/07/18,2,tall,1,5,5608,Maxi,0,0,
08/07/18,32,none,12,5,8504,none,10,0,
08/07/18,47,tall,7,5,5608,Maxi,10,0,
08/07/18,69,tall,8,5,8504,Maxi,10,0,
08/07/18,33,tall,2,5,8504,Maxi,0,0,
08/07/18,8,standard,3,6,5608,Maxi,0,0,
08/07/18,40,none,6,6,8504,none,0,0,
08/07/18,35,tall,2,6,8504,Maxi,0,0,
08/07/18,41,none,11,6,5608,none,10,3,
08/07/18,53,tall,8,6,8504,Maxi,10,0,
08/07/18,15,tall,7,6,5608,Maxi,10,7,
08/07/18,52,none,5,6,5608,none,0,0,
08/07/18,68,standard,10,6,8504,Maxi,10,0,
08/07/18,57,tall,1,6,5608,Maxi,0,0,
08/07/18,37,none,12,6,8504,none,10,0,
08/07/18,14,standard,4,6,8504,Maxi,0,0,
08/07/18,62,standard,9,6,5608,Maxi,10,0,
08/13/18,49,tall,8,1,8504,Maxi,10,0,
08/13/18,31,none,11,1,5608,none,10,4,
08/13/18,34,none,12,1,8504,none,10,0,
08/13/18,51,standard,4,1,8504,Maxi,0,0,
08/13/18,27,standard,3,1,5608,Maxi,0,0,
08/13/18,18,standard,9,1,5608,Maxi,10,0,
08/13/18,67,none,5,1,5608,none,0,0,
08/13/18,7,none,6,1,8504,none,0,0,
08/13/18,44,tall,1,1,5608,Maxi,0,0,
08/13/18,48,tall,7,1,5608,Maxi,10,0,
08/13/18,22,tall,2,1,8504,Maxi,0,0,
08/13/18,25,standard,10,1,8504,Maxi,10,0,
08/13/18,63,standard,4,2,8504,Maxi,0,0,
08/13/18,61,standard,3,2,5608,Maxi,0,0,
08/13/18,9,standard,9,2,5608,Maxi,10,0,
08/13/18,43,tall,8,2,8504,Maxi,10,0,
08/13/18,29,tall,7,2,5608,Maxi,10,0,
08/13/18,10,standard,10,2,8504,Maxi,10,0,
08/13/18,17,none,6,2,8504,none,0,0,
08/13/18,16,tall,2,2,8504,Maxi,0,0,
08/13/18,11,none,5,2,5608,none,0,0,
08/13/18,12,tall,1,2,5608,Maxi,0,0,
08/13/18,60,none,11,2,5608,none,10,0,
08/13/18,56,none,12,2,8504,none,10,0,
08/13/18,6,standard,4,3,8504,Maxi,0,0,
08/13/18,4,standard,10,3,8504,Maxi,10,0,
08/13/18,58,tall,7,3,5608,Maxi,10,0,
08/13/18,45,none,5,3,5608,none,0,0,
08/13/18,13,none,12,3,8504,none,10,0,
08/13/18,54,standard,3,3,5608,Maxi,0,0,
08/13/18,30,standard,9,3,5608,Maxi,10,3,
08/13/18,70,none,6,3,8504,none,0,0,
08/13/18,3,tall,2,3,8504,Maxi,0,0,
08/13/18,55,none,11,3,5608,none,10,0,
08/13/18,26,tall,1,3,5608,Maxi,0,0,
08/13/18,72,tall,8,3,8504,Maxi,10,0,
08/13/18,19,standard,10,4,8504,Maxi,10,0,
08/13/18,5,none,12,4,8504,none,10,0,
08/13/18,50,tall,2,4,8504,Maxi,0,0,
08/13/18,23,tall,7,4,5608,Maxi,10,0,
08/13/18,71,standard,4,4,8504,Maxi,0,0,
08/13/18,66,tall,1,4,5608,Maxi,0,0,
08/13/18,24,tall,8,4,8504,Maxi,10,0,
08/13/18,46,none,5,4,5608,none,0,0,
08/13/18,59,none,11,4,5608,none,10,4,
08/13/18,20,none,6,4,8504,none,0,0,
08/13/18,1,standard,3,4,5608,Maxi,0,0,
08/13/18,28,standard,9,4,5608,Maxi,10,3,
08/13/18,21,standard,4,5,8504,Maxi,0,0,
08/13/18,65,standard,10,5,8504,Maxi,10,0,
08/13/18,39,standard,3,5,5608,Maxi,0,0,
08/13/18,38,none,6,5,8504,none,0,0,
08/13/18,36,none,5,5,5608,none,0,0,
08/13/18,64,none,11,5,5608,none,10,0,
08/13/18,42,standard,9,5,5608,Maxi,10,0,
08/13/18,2,tall,1,5,5608,Maxi,0,0,
08/13/18,32,none,12,5,8504,none,10,0,
08/13/18,47,tall,7,5,5608,Maxi,10,3,
08/13/18,69,tall,8,5,8504,Maxi,10,0,
08/13/18,33,tall,2,5,8504,Maxi,0,0,
08/13/18,8,standard,3,6,5608,Maxi,0,0,
08/13/18,40,none,6,6,8504,none,0,0,
08/13/18,35,tall,2,6,8504,Maxi,0,0,
08/13/18,41,none,11,6,5608,none,10,4,
08/13/18,53,tall,8,6,8504,Maxi,10,0,
08/13/18,15,tall,7,6,5608,Maxi,10,7,
08/13/18,52,none,5,6,5608,none,0,0,
08/13/18,68,standard,10,6,8504,Maxi,10,0,
08/13/18,57,tall,1,6,5608,Maxi,0,0,
08/13/18,37,none,12,6,8504,none,10,0,
08/13/18,14,standard,4,6,8504,Maxi,0,0,
08/13/18,62,standard,9,6,5608,Maxi,10,0,
08/21/18,49,tall,8,1,8504,Maxi,10,0,
08/21/18,31,none,11,1,5608,none,10,5,stem is girdled
08/21/18,34,none,12,1,8504,none,10,0,
08/21/18,51,standard,4,1,8504,Maxi,0,0,
08/21/18,27,standard,3,1,5608,Maxi,0,0,
08/21/18,18,standard,9,1,5608,Maxi,10,0,
08/21/18,67,none,5,1,5608,none,0,0,
08/21/18,7,none,6,1,8504,none,0,0,
08/21/18,44,tall,1,1,5608,Maxi,0,0,
08/21/18,48,tall,7,1,5608,Maxi,10,0,
08/21/18,22,tall,2,1,8504,Maxi,0,0,
08/21/18,25,standard,10,1,8504,Maxi,10,0,"This plant did not have SB, the rat cut the drip line and was not getting watered"
08/21/18,63,standard,4,2,8504,Maxi,0,0,
08/21/18,61,standard,3,2,5608,Maxi,0,0,
08/21/18,9,standard,9,2,5608,Maxi,10,0,
08/21/18,43,tall,8,2,8504,Maxi,10,0,
08/21/18,29,tall,7,2,5608,Maxi,10,0,
08/21/18,10,standard,10,2,8504,Maxi,10,0,
08/21/18,17,none,6,2,8504,none,0,0,
08/21/18,16,tall,2,2,8504,Maxi,0,0,
08/21/18,11,none,5,2,5608,none,0,0,
08/21/18,12,tall,1,2,5608,Maxi,0,0,
08/21/18,60,none,11,2,5608,none,10,0,
08/21/18,56,none,12,2,8504,none,10,0,
08/21/18,6,standard,4,3,8504,Maxi,0,0,"This plant did not have a irrigation emitter, thus symptoms of wilting are due to lack of water"
08/21/18,4,standard,10,3,8504,Maxi,10,0,
08/21/18,58,tall,7,3,5608,Maxi,10,3,sclerotia are present
08/21/18,45,none,5,3,5608,none,0,0,
08/21/18,13,none,12,3,8504,none,10,0,
08/21/18,54,standard,3,3,5608,Maxi,0,0,
08/21/18,30,standard,9,3,5608,Maxi,10,4,sclerotia are present
08/21/18,70,none,6,3,8504,none,0,0,
08/21/18,3,tall,2,3,8504,Maxi,0,0,
08/21/18,55,none,11,3,5608,none,10,3,
08/21/18,26,tall,1,3,5608,Maxi,0,0,
08/21/18,72,tall,8,3,8504,Maxi,10,0,
08/21/18,19,standard,10,4,8504,Maxi,10,0,
08/21/18,5,none,12,4,8504,none,10,0,
08/21/18,50,tall,2,4,8504,Maxi,0,0,
08/21/18,23,tall,7,4,5608,Maxi,10,0,
08/21/18,71,standard,4,4,8504,Maxi,0,0,
08/21/18,66,tall,1,4,5608,Maxi,0,0,
08/21/18,24,tall,8,4,8504,Maxi,10,0,
08/21/18,46,none,5,4,5608,none,0,0,
08/21/18,59,none,11,4,5608,none,10,5,
08/21/18,20,none,6,4,8504,none,0,0,
08/21/18,1,standard,3,4,5608,Maxi,0,0,
08/21/18,28,standard,9,4,5608,Maxi,10,4,
08/21/18,21,standard,4,5,8504,Maxi,0,0,
08/21/18,65,standard,10,5,8504,Maxi,10,0,
08/21/18,39,standard,3,5,5608,Maxi,0,0,
08/21/18,38,none,6,5,8504,none,0,0,
08/21/18,36,none,5,5,5608,none,0,0,
08/21/18,64,none,11,5,5608,none,10,0,
08/21/18,42,standard,9,5,5608,Maxi,10,0,
08/21/18,2,tall,1,5,5608,Maxi,0,0,
08/21/18,32,none,12,5,8504,none,10,0,
08/21/18,47,tall,7,5,5608,Maxi,10,4,sclerotia are present
08/21/18,69,tall,8,5,8504,Maxi,10,0,
08/21/18,33,tall,2,5,8504,Maxi,0,0,
08/21/18,8,standard,3,6,5608,Maxi,0,0,
08/21/18,40,none,6,6,8504,none,0,0,
08/21/18,35,tall,2,6,8504,Maxi,0,0,
08/21/18,41,none,11,6,5608,none,10,5,
08/21/18,53,tall,8,6,8504,Maxi,10,0,
08/21/18,15,tall,7,6,5608,Maxi,10,7,
08/21/18,52,none,5,6,5608,none,0,0,
08/21/18,68,standard,10,6,8504,Maxi,10,0,
08/21/18,57,tall,1,6,5608,Maxi,0,3,
08/21/18,37,none,12,6,8504,none,10,0,
08/21/18,14,standard,4,6,8504,Maxi,0,0,
08/21/18,62,standard,9,6,5608,Maxi,10,0,
08/28/18,49,tall,8,1,8504,Maxi,10,0,
08/28/18,31,none,11,1,5608,none,10,6,
08/28/18,34,none,12,1,8504,none,10,0,
08/28/18,51,standard,4,1,8504,Maxi,0,0,
08/28/18,27,standard,3,1,5608,Maxi,0,0,
08/28/18,18,standard,9,1,5608,Maxi,10,0,
