block,plot,treatment,cultivar,graft
1,1,1,5608,tall
1,2,5,5608,none
1,3,4,8504,standard
1,4,6,8504,none
1,5,2,8504,tall
1,6,3,5608,standard
2,1,6,8504,none
2,2,4,8504,standard
2,3,5,5608,none
2,4,1,5608,tall
2,5,3,5608,standard
2,6,2,8504,tall
3,1,1,5608,tall
3,2,6,8504,none
3,3,4,8504,standard
3,4,2,8504,tall
3,5,5,5608,none
3,6,3,5608,standard
4,1,5,5608,none
4,2,2,8504,tall
4,3,1,5608,tall
4,4,4,8504,standard
4,5,6,8504,none
4,6,3,5608,standard
5,1,6,8504,none
5,2,3,5608,standard
5,3,5,5608,none
5,4,4,8504,standard
5,5,2,8504,tall
5,6,1,5608,tall
6,1,1,5608,tall
6,2,5,5608,none
6,3,6,8504,none
6,4,3,5608,standard
6,5,4,8504,standard
6,6,2,8504,tall